GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QC-Review,ninja,ChakraNature,68,0,0,0,6,0,4,0,4,0
QC-Review,ninja.models,Ninja,49,13,0,0,21,6,10,3,10,3
QC-Review,ninja.tools,Shuriken,19,0,0,0,9,0,4,0,4,0
